dense,moe,thick,reinf_ring,hoop,drumhead,tune_att,tune_res,RMS,Spectral Flatness,ZCR,Spectral Kurtosis,Spectral Entropy,Spectral Slope,Inharmonicity,Effective Duration,name_file,wood,f0,hoop_top_thickness_mm,hoop_material_density_kg_m3,hoop_effective_thickness_mm,batter_film_total_mil,batter_control_ring_mil,batter_effective_total_mil,batter_is_coated_proxy,batter_dry_vents_proxy,batter_damping_proxy,config_id,wood_acoustic_velocity_m_s,wood_acoustic_impedance_rayl
530,9.31647,5.5,False,STEEL,SIMPLE,60,80,1.636208550483503,1.7800018541916238,1.2813600780351944,2.293639207612259,1.2707562027369543,0.760041943376596,0.75827277459993,0.6964285714285713,0059.wav,teca,152.069,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,60,70,0.66703324958391,0.2837272927081595,0.3288166060192265,1.0639426742451157,0.6613876482843494,0.3927812841306816,-0.2004126273492432,0.589285714285714,0060.wav,teca,128.198,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,70,70,2.9111966628503527,0.2104258707148203,0.2651960958952604,1.9290493142773533,0.977998149001072,0.9521133306352644,-0.0236297673432308,0.3035714285714286,0061.wav,teca,138.679,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,70,80,0.9162489339670988,0.3950828121074118,0.687534978067258,0.6925600422832974,0.9371591445003634,0.8784019756292408,0.2892740784444646,0.482142857142857,0062.wav,teca,158.633,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,80,80,0.0001933752547994,0.2801797967748768,0.0681022123951668,0.1452698064971462,-0.5051933455252456,-0.2543009174129178,0.3753544790017967,0.0178571428571428,0063.wav,teca,168.321,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,80,70,0.3663685151253503,1.2440626318017962,1.3080915515537817,-0.1955045088658334,0.5899006775838963,-0.2496934083932883,0.9167858764530432,-0.6607142857142857,0064.wav,teca,151.027,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,8.5,False,STEEL,SIMPLE,60,60,1.2819856996831245,-0.7568792004559283,-1.0317863538524463,0.8112347168808774,-0.5281672006596214,0.2777249434367079,-0.9985387694631448,-0.0535714285714286,0065.wav,teca,115.445,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,2,132.5829750873726,70268.97679630748
530,9.31647,8.5,False,STEEL,SIMPLE,70,60,1.7638477205250196,-0.0490118584612922,-0.2166865617929695,0.5336213690817648,0.2177904724925023,0.4512802502721432,-0.3382493580500675,-0.3035714285714286,0066.wav,teca,127.457,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,2,132.5829750873726,70268.97679630748
530,9.31647,8.5,False,STEEL,SIMPLE,80,60,0.5158705908330936,0.1138204066747604,-0.2210970114017788,0.08333109763936,-0.8753390011837608,-0.4391602981719385,-0.3789963769381709,-0.3392857142857143,0067.wav,teca,147.0,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,2,132.5829750873726,70268.97679630748
530,9.31647,8.5,False,STEEL,SIMPLE,85,60,-0.219839067274407,0.8642967947926948,0.8362762637088094,-0.2747554274420829,0.0616178427441527,-0.4280942909038999,0.4782535841212287,-0.6249999999999999,0068.wav,teca,151.027,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,2,132.5829750873726,70268.97679630748
